,0,1
41,"Penista agama & Ulama selalu dibela
Ahok
Viktor 
Suluawati 
Meiliana 
Ade Armando
Denny Siregar
Ernest
Uus
Joshua 
Ge Pamungkas 
Tretan Muslim
Coki Pardede
Yaqut

Giliran korbannya non-muslim = radikal, Intoleran serta dikaitkan dg Islam. REZIM SONTOLOYO!",0
42,Kangen bgt sumpah sama panutanqoe @TretanMuslim & @pardedereza . thankyou ketawa detik ini juga udah datengin mereka hahahaa @smartfrenworld #GoUnlimited #unlimitedketawa,1
43,"Terima kasih atas semangat toleransi yang kalian dengung-dengungkan. #GolonganKami akan tetap ada. #StayStrong 
Selamat buat para ""ikhwan dadakan"" yg ""mabok agama"" MISI KALIAN BERHASIL!!! Tapi aku tidak yakin kalian akan hidup tenang. Gusti Allah Adil",1
44,"Kutunggu di Twitter dan YouTube @Majelislucu mas @TretanMuslim dan @pardedereza

Kembalikan Debat Kusir !!
Masyarakat butuh Hiburan !!",1
45,Keputusan tersulit namun keputusan tepat. Respect buat kalian berdua @pardedereza @TretanMuslim,1
46,"terimakasih bro!
@TretanMuslim @pardedereza
#GolonganKami #hiyahiyahiya #humanityabovereligionpic.twitter.com/C9KsSXmemx",1
47,Alangkah lucunya msih bnyak org (bahkan seorang muslim) respect sma org yg jelas2 bercanda berlebihan soal agamanya. Jangan hanya karna miskin  materi dan kreatifitas trus agama dijdikan bahan leluconmu. Lucu gak bodoh iya. pic.twitter.com/mciDJAlCnC,0
48,"Bang @TretanMuslim , kalo mau memperdalam ilmu agama, datangnya ke ustad yg ngajarin ilmu agama, bukan yg ngomentarin video viral.
#GolonganKami",0
49,Semangat terus bang! Sukses selalu dan terus berkarya,1
50,"Gue nungguin kata2 ""TAPI BOONG,"" dari kalian sampe akhir video, diiringi tawa Coki yg heboh. Tapi gak pernah muncul.
Agak menyayangkan karena konten Debat Kusir kalian emang yg selalu ditunggu.
Tp, you guys, being better and better.
Selamat dan semangat dalam mendalami ilmu! :) ",1
51,Ayodong comeback @TretanMuslim @pardedereza,1
52,Hilang sudah salah satu sumber hiburan. respect buat @TretanMuslim @pardedereza,1
53,"#Respect
Selalu Respect Buat Orang Kek Gini
Respect Buat MLI
Dan Buat Episode Debat Kusir
#debatkusir #majelislucuindonesia #majelislucu #mlindonesia ",1
54,"RIP Komedi Indonesia,
Good luck panutan @TretanMuslim @pardedereza. Semoga kebodohan bangsa Indonesia segera punah.",1
55,"yg bahagia dgn video ini:

Atta Halilintar",0
56,"pas bang , aku juga kesel jadinya . aku fans banget ama tristan muslim & coki pardede . menurut aku tidak ada penistaan sama skali soal bahan makanan mah .",1
57,Alhamdulillah mudah mudahan coki masuk Islam,0
58,"Sedih banget nonton ini :"") masih menunggu @pardedereza @TretanMuslim kembali",1
59,"Kalau bhs Tretan Muslim sma Coki Pardede, 100% mrka memang bersalah. Bkn krn guyonannya, tp krn berbuat sesuatu di luar tingkatan maqom mrk.

Maqom mrka blm selevel sma Cak Nun, tpi udh bikin guyonan nyrempet2 agama. Terdjungkal deh.",0
60,yang kaya gini sepi banget kaga di demo dan ga ada ancaman pembunuhan. Itu tretan muslim sama coki pardede apakabaaaar,0
61,BAJINGAN LAKNAT 2 MANUSIA INI.I.DEMI ALLAH. AKN KAMI TEMUKAN DAN KAMI BUNUH KEDUANYA,0
62,"toleran pala lu benjol.
woi lu muslim, jangan lu lecehkan agama lu. kalo lu mau rusak, jangan ajak ajak orang. kalo lu mau jadi sampah, jangan kotorkan agama islam",0
63,Nah sepakat om. Tetap semangat bang @TretanMuslim dan bang @pardedereza. Ditunggu epic comebacknya. Gbu,1
64,Ada reaksi karena ada aksi !! Kalau gaa mau ada reaksi beraksilah sewajarnya gaa usah bawa bawa agama dlm dunia lawakan !!,0
65,Kembalikan @pardedereza & @TretanMuslim !! . @Majelislucu tanpa Coki Muslim hanyalah sekumpulan pemuda biasa yang suka standup,1
66,"Bkin chanel sendiri aja lepas dr MLI. Pasti laku kok. Tp hrs hati2 bkin konten jgn nyinggung2 agama lg.. Sy pikir ini bkn akhir dr coki muslim,tp mlh awal dr perjalanan karir mereka.. Ttp smgt dan jadikan semua pembelajaran yg baik!",1
67,"Dear @TretanMuslim and @pardedereza thank you. Thank you very much. Maafkan umat tidak  lucu yang terlalu beringas sehingga menghalalkan segala cara demi memuaskan hasrat kebencian mereka. Now it's our turn to keep the tollerance's alive
 #GolonganKami",1
68,Yang melarang siapa? Ada twit Eike yang bilang melarang? Hiyahiyahiya .,0
69,"Gagasan yang baik itu yang mendidik, mendidik dalam artian menggerakkan orang untuk mengerti bukan untuk membenci.

Tretan Muslim dan kebanyakan pelawak saat ini lebih ke menggiring opini dan membenci. aku rasa itu bukan gagasan.

Pertanyaan: apa yang anda maksud dengan gagasan?",0
70,"Tretan Muslim ame Coki Pardede adalah orang-orang revolusioner. Ketika kuasa sorgawi sudah jatuh ke tangan penduduk Indonesia, mereka berani unggah konten dark jokes macem itu.

Bravo brothers! Semoga kelian sakses di langkah kalian selanjutnya.",1
71,"Kembalikan muslim dan coki, hidup aku hampa sekali tidak ada mereka di majelis lucu. Acara tv sudah tidak ada yang aku senangi. Memutar berkali2 di youtube yang ada  @TretanMuslim dan @pardedereza .",1
72,Rindu @pardedereza dan @TretanMuslim sampai kebawa mimpi . Di mimpi mereka ke mana-mana selalu pakai masker dah kaya pengidap TBC .,1
73,Indonesia bakal sepi tanpa Debat Kusir dari @TretanMuslim dan @PardedeCoki di channel youtube @Majelislucu,1
74,YA ALLAH AKU TUH KANGEN DEBAT KUSIR COKI MUSLIM TAT,1
75,"sekeras apapun hidup harus tetep fight, tetep semangat @TretanMuslim @pardedereza #GolonganKami",1
76,"aku sebenarnya fans sama @TretanMuslim aku suka materi2nya yang dulu tentang suramadu hilang bautnya satu persatu, dan rongsokan sisa perang transfomers yang dipungut orang madura. Sekarang kemana materi2 seperti itu cong??",0
77,"Setelah ""surga"" mereka klaim, sekarang komedi mereka klaim pula.
Yasudah aku tak dineraka aja bsok.
.
.
.
.
.
Memang surga dan neraka itu ada???
Hiya Hiya Hiya
Keep strong lur !!!",0
78,"Mau pensiun mau pergi mau tenggelem, intinya agama bukan buat lucu2an",0
79,"Hah...
terlepas dari “cara” mereka yang disebut “kelewat batas” oleh sebagian masyarakat kita saat ini, gue menghargai mereka sebagai stand up comedian, apalagi setelah nonton ini. Kalian keren banget, sih @pardedereza @TretanMuslim !
Bakal kangen banget sama #hiyahiyahiya .",1
80,"nonton berulang ulang debat kusir coki dan tretan , anjay rindu sama ketawanya ..",1
81,"Semangat buat dua-duanya.. ditunggu comeback-nya..
Yang paling bikin sedih itu, kenapa aku masuk di ""jaman tertawa itu dilarang""..",1
82,Kembalikan coki muslim,1
83,"Maaf Mungkin bisa diberikan,

Tapi Proses HUKUM akan tetap Berlanjut,

Tiada Tempat Bagi Penista Agama di NKRI,

""2 Komika Tretan Muslim dan Choky Pardede Minta Maaf Atas Video Memasak Daging Babi dengan Kurma""
",0
84,@TretanMuslim sama @pardedereza juga engga nyangka kalo video masak mereka dipersoalkan,1
85,"hobi paling berbahaya menghina syariat agama orang lain. kalo lu mau rusak, jangan perlihatkan ke publik. itu namanya bodoh",0
86,ngaku islam kok megang daging babi @TretanMuslim punya otak gak lu,0
87,"Tetiba kangen debatkusir , ayolah bang @TretanMuslim upload baru lagi :( butuh asupan hiyahiyahiya",1
88,Umat lucu sudah menunggumu bro @TretanMuslim @pardedereza hiya hiya! #GolonganKami #GoUnlimited #UnlimitedKetawa @smartfrenworld,1
89,"tidak ada lagi asupan komedi dengan materi toleransi. kalian tidak kalah, kalian menang dengan bijaksana cak cokslim!
semoga sukses dan sehat selalu!",1
90,Sinetron tidak mendidik yang isinya hanya tangis2an marah2an cinta2an gajelas Dan reality show penuh settingan,0
91,"Aku ra arep nyalahne neng kene mung pengen ngebahas, sukur sukur entuk solusine. Mung garis bawahi wae nek syariat Islam sue sue nek nggo gegojekan wedine dadi ora ono wah e, dadi mung disepelekan.",0
92,"Ahh, gw kangen jokes kalian @pardedereza @TretanMuslim 
Mending gw mati ketawa drpd mati dg kepedihan,wisssh...",1
93,Rindu sangat @TretanMuslim and @pardedereza ... 2 manusia ini padahal hanya ingin menghibur masyarakat yang telah di butakan oleh kisruh politik n Agama .. seperti aku yang tidak mau berurusan dengan keduanya .. biar hanya di simpan di dalam hati sendiri saja ..,1
94,"Ahok aja tidak ada niat menghina , Tretan Muslim bahkan cuma becanda soal babi dan kurma . Keduanya diancam dihakimi massa .",1
95,Masih . Tapi agak beda aja . Kami rindu Coki @TretanMuslim yang biasa .,1
96,"Kalau imam besar itu kan ceramah, mas. Coki & Muslim ini komedi. Komedi itu ada batasnya, ceramah ya bebas-bebas aja.
Gitu mungkin menurut mereka.",0
97,Mereka berselang pergi bersama Habibana Rizik Sihab,0
98,"Masih sedih euy , tidak ada debat kusir lagi
#savemuslimcoki",1
99,sedih liat @TretanMuslim & @pardedereza pamit dari dunia hiburan Indonesia...,1
100," ngelawak /stand up nyinggung SARA. Coba dengerin lawakannya h. Bokir, nirin mpok nori atau dengerin ""jantuk"" dah. udeh gitu Pake teriak paling toleran..Ngaca dul. Ngebanyol juga ada etikanya. ",0
101,"Kalian pada pernah dnger atau nonton ceramah Kh, Zainudin mz gak? Di jamin nyeritain rasul dan sahabat, sampe ke firaun segala tapi bikin ngakak... Dan apa itu salah? Dasar bocah bocah.. aku saranin nonton/dengerin ceramah beliau",0
102,"Gue ga ngerti netijen yg bilang coki muslim itu penistaan agama. Gue liat video2nya emg gada yg menistakan, entahlah. Intinya ku kgn debat kusir coki muslim:(",1
103,coba cari lawakan mereka jaman di radio / kaset. aku cuma bisa bilang itu saja kalau tujuannya mau membandingkan.,0
104,"Aku tetep umatmu dan termasuk golongan mu @Majelislucu @TretanMuslim @pardedereza 
Tak enteni sak isomu tampil
Ojok maneh desember
Tahun ngarep yo gak masalah",1
105,"Beruntung juga kemarin-kemarin gak nonton video @Majelislucu sekaligus , jadi kalo sekarang kangen @TretanMuslim @pardedereza masih ada stock . :"")",1
106,Alkhamdulilllah ... semoga ALLAH SWT memberikan kita smua hidayah .. lebih baik berhenti dan belajarlah agama dengan benar.. jalur mu sudah salah sekarang waktunya memperbaiki,0
107,Tangkap masukkan kedalam penjara gk bisa manusia seperti itu dikasi ampun,0
108,"Tetap semangat bro @pardedereza & @TretanMuslim, jgn menghilang dr dunia medsos hanya karna persekusi kaum sumbu pendek.
Dari gw yg termasuk #GolonganKami",1
109,Aku yakin bangsa kita adalah bangsa yang hebat. Minat baca dan selera humornya saja mungkin yang  tidak. Respect buat lu bang @TretanMuslim #GolonganKami,1
110,agak kesel gmna gt ya sm org org yg komentarin cokipardede&tretan muslim. serasa sholat mereka 5 waktu jalanin puasa senin kamis sama tahajud tiap malem:),1
111,Sdh dipecat dari radio ya bro.. undangan manggung jg pasti kurang. Salah kalian agama buat mainan,0
112,"Baiknya ikuti saran pak Wiranto.
Yg bersalah dihukum dgn proses peradilan yg terbuka.
Demo itu bukan proses hukum.
Bila disebut penghinaan agama, lha sama2 muslim kok.
Ada petunjuk dlm Al-Qur'an utk damaikan dua yg berseteru.
Mau ingkari ayat Alqur'an?",0
113,"Semoga rejeki tetep jalan bro @TretanMuslim @pardedereza dark komedi dan toleransi selalu hidup di keseharian kita semua.

Sukses buat kalian berdua

#hiyahiyahiya",1
114,"Orang tidak pernah ngaji begini nih jadinya udah tahu dia bilang "" mari kita dengarkan ( sambil kupingnya kearah daging babi ) neraka , neraka "" itu kan udah hukum syariat emang babi itu haram buat umat muslim ko malah jadi bahan becandaan

Kita tidak perlu ngomongin masaknya tapi perkataan dia",0
115,"@pardedereza bro, tetap semangat ya . Aku subscriber baru nih , lagi akung2nya eh ditinggal . Ku doakan yang terbaik untuk masalah ini . Ditunggu karya-karya lainnya .",1
116,Hiya hiya hiya jadi hiyes hiyes hiyess dong..,0
117,"Baguslah, klo aku mlh melihat sisi rendah hati seseorang, krn meminta maaf ato memaafkan nggak cuman mng ato klh, sll slh ato bnr, lbh bags menyadari drpd bego2in org, SUCI bukan tolak ukur, krn dia nggak skdr pgn lucu doang",0
118,"Terimakasih @StandUpKompasTV
Bisa mengobati kerinduan akan nada nada dari @pardedereza anda ternyata nguploadnya nunggu waktu yang pas hhh",1
119,"kalo lu udah biasa ngapain bikin video pamit . 
0 dan munafik paket komplit kalian",0
120,"Dari sini semoga semua pihak bisa belajar kalo kita harus berhati2 di sosmed, tdk semua pihak bs menerima apa yg kita lakukan dan kita tidak bisa memaksa org lain utk menerima semua hal. Sgla yg kt lakukan bisa bdampk bruk utk org sekitar kita, walau tdk ada niat buruk sekalipun.",0
121,"sangkin terhipnotisnya sama @TretanMuslim @pardedereza, gua replay itu debat kusir 5x tetep bikin ketawa. ga nyangka banget secepet ini deh. dua bulan bahagia nemuin debat kusir di youtube mesti berakhir sakit hati. sesakit ini hati gue mereka pamit.",1
122,"yah coki muslim keluar dari @Majelislucu 
akung ey .. tapi kalo menurut pribadi, emang ada ey penistaan. soalny mereka gunakan ""diksi"" agama dalam konteks yang sangat tidak tepat ~ https://twitter.com/Majelislucu/status/1057311614725054465 …",0
123,"Kalo @pardedereza dan @TretanMuslim ini masih sombong , perlu diberi pelajaran nampaknya ... kita lihat karirmu makin melejit atau tenggelam ...",0
124,"Letak masalahnya bukan makan atau menyentuh bos , si muslim itu kalau bener dia muslim dan punya iman dimana ghiroh dia ? lah syari'at agamanya sendiri kok malah dijadikan bahan lawak murahan ! 
Pikir bos !",0
125,Woiyo aku sing salah. Brarti tumpeng papeda kui rapopo asalkan ora gojekan tentang filosofine. Opo yo ono nek tumpeng yang penuh dengan filosofi jawa dicampur papeda kadar filosofise iso menurun ? Kui penistaan terhadap syariat/ketentuan budaya jawa. Hati-hati anda @TretanMuslim,0
126,"Monggo bro.. Pamit ga pamit itu terserah, pilihan njenengan. Saran aja,  kalo masih bisa berkarya,  buatlah karya yg memang bagus dan ""positif"", setidaknya menghargai setiap agama di Indonesia. Nuhun",0
127,"Kirain suasana di rumah aja yg tegang, ternyata satu negara mmang sdh terbiasa dng suasana hidup yg tegang , terbatas dan bisa sampai mati penasaran.

Hidup tegangku lubl akan dimulai lg stlh kalian gk ada disini bngsd , di radio pun jg sdh gak ada. 

Dasar bngsdd kelian. Bngsdd.",0
128,"Mbak kayak yg gatau warga FB aja... penculikan anak aja suruh di bunuh, apalagi ini menghina Nabi 

Sekarang Evi sepi job",0
129,"Persekusi, menghalalkan darah ini tidak diajarkan dalam agama manapun. Semoga cepat kembali bro",1
130,"Sepengetahuan aku. Mereka tk pernah menjadikan agama sebagai lawakan.. Bkn spt sebagian pelawak Masa Kini. Mengangkat materi2 yg kontroversi. Supaya terkenal
Sy sebagai warga madura yg sering menonton stand up comedy Muslim sejak Dia Baru naik. Agak kecewa dgn muslim",0
131,"tapi tau ga? jika lu bukan pendakwah, bukan ahli agama,bukan kaum ulama, jangan berdakwah. Dilarang. bahkan jika lu anggap benar atau ternyata hadist/ayat yg lu tafsirkan sendiri itu benar, tetap dilarang jika lu bukan ahli agama/dari kaum ulama.",0
132,RIP atas kualitas komedimu...jika berkualitas mengapa ngaso jadi stengah presenter...apakah karna presenter sudah terlalu mainstream. Hehehe,0
133,"Tanpa coki dan muslim , debat kusir berbeda",1
134,"Gua bukan golongan kalian, gua salah satu masyarakatnya. Lo ngmg yg gk suka jokes mereka itu sumbu pendek, otak dangkal ? 
Jadi yang suka jokes mereka itu orang"" yang cerdas, penyabar, gitu ya ?
Gua suka jokes Warkop, Raditya, Panji, Sule, Jojon.
#golonganSokPlural #modar",0
135,respect!!!,1
136,apakah @pardedereza bangga ngelawak bodoh dengan memperolok agama ?,0
137,"Lohhh...tau bedanya ga?itu kasus penistaan agama...ini urusane sama Allah,ini Pak Prabowo dalam konteks bercanda...dan yg hadir disitu ga da yg tersinggung,kalo anda muslim...coba deh dibaca lg bedane kalo bukan muslim coba cri tau jga,btw anda orang Boyolali bukan?",0
138,"Kami butuh coki muslim , kami butuh dark comedy",1
139,"kurangi tertawa, karena tertawa itu sudah dilarang. #RIPKomediIndonesia 
Makasih bang @TretanMuslim dan @pardedereza berkat kalian gak cuma soal agama yg bikin pikiran gw lebih terbuka, but common sense dan kepedulian terhadap hal2 lain jd kritis. Salute, de familia ",1
140,"At last but not least. tetap semangat Coki dan Muslim @TretanMuslim
@pardedereza
#RIPKomediIndonesia #RIPComedyIndonesia",1
141,Huhuhu bakalan rindu @TretanMuslim @pardedereza #GolonganKami,1
142,"Mau pak, 

Jangan bernuansa seksual .
Jangan ada Ernest dan Uus dan Coki Pardede .",0
143,"Sorry bang, gua golongan yang cuma sebatas ""gak suka"" tanpa tindak lanjut yg extreme. Gua cuma mau kasih paham, yang gak suka bukan berarti lebih rendah derajat humornya, bisa jadi sebaliknya. Boleh kita pintar, tapi jangan menganghap kitalah yang paling pintar.",0
144,"Gua nyaut lagi ""Bu, tau basic mereka berdua? Tau apa yanh dimaksud Dark Comedy? Tau bahwa ciri khas mereka itu nada-nada terutama Coki?"" Ibu gua cuma bisa jawab ""Buat apa harus tau? Yang penting itu menista agama.""",0
145,"Menurut aku nih ya , di video itu @TretanMuslim dan @pardedereza mau nyampein pesan “ segala sesuatu yang haram , mau dibalur pake hal-hal religius atau apapun yang baik , tetap saja dia menjadi haram ”.",1
146,"Kami rindu debat kusir . @TretanMuslim @pardedereza
@Majelislucu #bukangolongankami #hiyahiyahiya",1
147,"Pro kontra pasti ada. Tapi Kok akhir-akhir ini kaya berlebihan banget. Pake kaos bad religion aja sekarang jadi masalah kayaknya, padahal itu band udah ada dari kapan. Gak paham.pic.twitter.com/2hPeYa53qy",0
148,"@Majelislucu tolong kasih penjelasan , ini maksudnya apa ya ? Sepeninggal Almarhum @TretanMuslim  dan @pardedereza , MLI seperti kehilangan arah",1
149,"Hai bagaimana kabar para kaum kayu mati ? Msh kah kalian tidur dengan ijazah ? aku sangat rindu duo kapitalis ini siaran dan rindu jg dengar ketawa jahat mereka :( cepatlah kembali siaran lg , kami perlu cambukan2 motivasi sampah dri kalian  @pardedereza @TretanMuslim",1
150,"Kalau kasusnya kriminal laporkan ke @BareskrimPolri ,klo mslah boikot,itu ada sbabnya,klo gak ingin basah,jgn main air,smua tdk serta merta,jgn playing victim bos..
Jadikan pelajaran stiap maslah hidup,ambil hiluahnya.
@TretanMuslim
@pardedereza",0
151,"Badut2 itu yg nglawak masuk domain agama, dah tau domain sensitif, jgn kan agama, gara2 urusan parkir dua ribu perak aja bisa tauran antar kampung.. 
Lagian lawakan cuma bau2 Islam, Coba dong bikin juga agama laen?",0
152,aku cinta cokimuslim dan akan tetap nunggu kalian di panggung yang akan datang  hiyahiyahiya,1
153,"aku gasuka tretan muslim dan coki..
Gaoleh a bro? Sebut aku kurang toleransi",0
154,"Anjeerrr @tretanmuslim sekali muncul , langsung promo berbayar hahahaha . Kok masih ada yang mau pakai jasa kamu hey ",0
155,Apaan sih lu garing. agama kok di bencadain,0
156,Kami sebagai umat lucu akan tetap menunggu panggung kalian berdua! #GolonganKami,1
157,"cukup sedih atas mundur nya kalian. btw, terima kasih. lewat debat kusir, secara ga langsung pikiran aku terbuka dan sebagian argumen kalian mewakili pendapat aku yg tak berani tertuang selama ini. respect ",1
158,"Dan komedian pun ada batasnya dmn kita tdk boleh menyingung agama dan ras , apa lagi itu menjadi matapencaharian demi lucu dan flower.. mereka sangat tdk kreatif ..",0
159,"Coba Tretan Muslim sama Coki Pardede yang bilang , sudah masuk penjara kali . Kembalikan humorku! Please comeback 2 komika favoritku :""""""""",1
160,"saya hormati silahkan, ngelucu, bercanda,  nabi jg suka becanda ko, tp kan ada adabnya mas,  Tetap berakhlaq islami (Khusus Muslim
• Tidak berbohong ketika bercanda
• Menjauhi becanda dengan memperolok agama/orang lain
• Tidak bercanda dengan membicarakan aib orang lain",0
161,"Allahuakbar, kagak ada takut2nya ini manusia sama Yang punya tuh badan dan mulut buat ngebacot.

Semoga Allah berikan hidayah, dan jika tidak semoga Allah jadikan ia contoh dan ujian untuk yg muslim yg masih beriman",0
162,#KembalikanCokidanMuslim,1
163,Dukung @TretanMuslim @pardedereza biar Indonesia jadi keren pemikiran nya,1
164,"selamat @TretanMuslim kau pintar.
tapi 0",0
165,"mau lo makan babi atau pun babi yang makan lo, jangan sekali lagi lo lecehkan syariat agama islam. lu mau makan daging babi sampe gila pun, jangan lagi lecehkan syariat kami. lawakan lu sampah",0
166,"kenape lu yang ribet ?
lu siapa nya mereka ?
agama lu apa, kalo lu non muslim ya, gak ada masalah dong. tapi kalo lu islam tapi lu gak marah, ada yang salah di pemahaman lu",0
167,"He is nothing but nuts and a loser,  sesudah dy puas bikin kisruh dunia persilatan,  ambil duitnya yutub,  dy mundur",0
